Ticker,Volume,Close,High,Low,Time
BINANCE:SOLUSDT,65524.71,131.8,132.14,130.14,2021-09-28 16:00:00
BINANCE:SOLUSDT,111330.16,130.13,131.98,129.42,2021-09-28 16:30:00
BINANCE:SOLUSDT,103066.88,130.01,130.53,128.62,2021-09-28 17:00:00
BINANCE:SOLUSDT,54462.6,129.28,130.25,128.94,2021-09-28 17:30:00
BINANCE:SOLUSDT,70863.97,129.46,129.77,128.17,2021-09-28 18:00:00
BINANCE:SOLUSDT,90731.69,131.04,131.49,129.35,2021-09-28 18:30:00
BINANCE:SOLUSDT,45728.04,131.21,131.83,130.84,2021-09-28 19:00:00
BINANCE:SOLUSDT,83376.99,131.06,131.64,128.86,2021-09-28 19:30:00
BINANCE:SOLUSDT,97522.89,132.16,132.69,131.03,2021-09-28 20:00:00
BINANCE:SOLUSDT,39140.25,131.89,132.78,131.8,2021-09-28 20:30:00
BINANCE:SOLUSDT,58122.73,133.45,134.1,131.77,2021-09-28 21:00:00
BINANCE:SOLUSDT,45625.87,134.0,134.58,133.35,2021-09-28 21:30:00
BINANCE:SOLUSDT,61661.45,132.41,134.09,132.0,2021-09-28 22:00:00
BINANCE:SOLUSDT,51309.13,132.31,133.66,132.08,2021-09-28 22:30:00
BINANCE:SOLUSDT,45062.14,133.17,133.64,131.92,2021-09-28 23:00:00
BINANCE:SOLUSDT,118218.78,132.2,133.34,130.04,2021-09-28 23:30:00
BINANCE:SOLUSDT,216091.04,136.77,137.14,132.09,2021-09-29 00:00:00
BINANCE:SOLUSDT,216111.0,136.39,138.6,135.57,2021-09-29 00:30:00
BINANCE:SOLUSDT,77201.74,136.4,137.61,135.65,2021-09-29 01:00:00
BINANCE:SOLUSDT,103618.79,135.39,136.44,134.39,2021-09-29 01:30:00
BINANCE:SOLUSDT,67998.42,137.15,137.34,135.38,2021-09-29 02:00:00
BINANCE:SOLUSDT,92412.23,137.4,138.41,137.09,2021-09-29 02:30:00
BINANCE:SOLUSDT,80847.33,137.88,138.41,136.51,2021-09-29 03:00:00
BINANCE:SOLUSDT,110128.04,138.81,139.42,137.13,2021-09-29 03:30:00
BINANCE:SOLUSDT,124458.38,139.25,139.85,138.47,2021-09-29 04:00:00
BINANCE:SOLUSDT,54849.27,138.55,139.59,138.12,2021-09-29 04:30:00
BINANCE:SOLUSDT,86268.46,139.44,139.6,138.21,2021-09-29 05:00:00
BINANCE:SOLUSDT,72502.46,139.93,140.0,138.36,2021-09-29 05:30:00
BINANCE:SOLUSDT,68136.69,138.71,140.17,138.53,2021-09-29 06:00:00
BINANCE:SOLUSDT,57864.3,139.34,139.7,137.84,2021-09-29 06:30:00
BINANCE:SOLUSDT,94351.45,138.01,139.3,137.4,2021-09-29 09:00:00
BINANCE:SOLUSDT,79405.38,137.8,138.56,136.83,2021-09-29 09:30:00
BINANCE:SOLUSDT,72838.92,137.76,138.64,137.09,2021-09-29 10:00:00
BINANCE:SOLUSDT,87342.32,139.44,139.64,137.55,2021-09-29 10:30:00
BINANCE:SOLUSDT,72403.8,138.74,139.61,137.79,2021-09-29 11:00:00
BINANCE:SOLUSDT,65084.69,139.53,140.0,138.03,2021-09-29 11:30:00
BINANCE:SOLUSDT,98975.06,138.05,140.07,137.62,2021-09-29 12:00:00
BINANCE:SOLUSDT,75822.35,137.59,138.65,137.0,2021-09-29 12:30:00
BINANCE:SOLUSDT,79719.13,136.88,138.69,136.56,2021-09-29 13:00:00
BINANCE:SOLUSDT,73577.82,137.73,137.88,135.85,2021-09-29 13:30:00
BINANCE:SOLUSDT,71564.05,137.98,138.52,137.35,2021-09-29 14:00:00
BINANCE:SOLUSDT,64116.99,137.04,138.08,136.29,2021-09-29 14:30:00
BINANCE:SOLUSDT,57094.3,136.94,138.01,136.45,2021-09-29 15:00:00
BINANCE:SOLUSDT,119001.51,135.62,136.98,134.84,2021-09-29 15:30:00
BINANCE:SOLUSDT,79400.79,134.94,136.38,134.54,2021-09-29 16:00:00
BINANCE:SOLUSDT,74122.69,134.42,135.28,133.93,2021-09-29 16:30:00
BINANCE:SOLUSDT,51817.18,134.72,134.98,133.75,2021-09-29 17:00:00
BINANCE:SOLUSDT,100270.07,133.23,134.78,132.68,2021-09-29 17:30:00
BINANCE:SOLUSDT,136965.81,134.02,134.58,132.38,2021-09-29 18:00:00
BINANCE:SOLUSDT,57310.03,133.44,134.26,132.83,2021-09-29 18:30:00
BINANCE:SOLUSDT,93953.66,132.24,134.09,131.95,2021-09-29 19:00:00
BINANCE:SOLUSDT,67095.99,132.01,132.55,131.59,2021-09-29 19:30:00
BINANCE:SOLUSDT,103386.8,131.58,132.43,131.12,2021-09-29 20:00:00
BINANCE:SOLUSDT,68760.32,132.81,133.37,131.41,2021-09-29 20:30:00
BINANCE:SOLUSDT,44462.78,133.11,133.6,132.63,2021-09-29 21:00:00
BINANCE:SOLUSDT,65290.51,134.7,134.8,133.05,2021-09-29 21:30:00
BINANCE:SOLUSDT,52757.96,134.03,134.88,133.6,2021-09-29 22:00:00
BINANCE:SOLUSDT,45408.13,134.89,135.25,133.89,2021-09-29 22:30:00
BINANCE:SOLUSDT,48262.54,134.72,134.94,134.25,2021-09-29 23:00:00
BINANCE:SOLUSDT,56447.1,135.25,135.43,134.39,2021-09-29 23:30:00
BINANCE:SOLUSDT,68673.5,135.93,136.5,134.8,2021-09-30 00:00:00
BINANCE:SOLUSDT,110316.62,138.37,138.5,135.67,2021-09-30 00:30:00
BINANCE:SOLUSDT,209507.83,138.66,140.0,137.76,2021-09-30 01:00:00
BINANCE:SOLUSDT,58901.72,138.6,139.27,138.09,2021-09-30 01:30:00
BINANCE:SOLUSDT,41761.6,138.99,139.06,138.2,2021-09-30 02:00:00
BINANCE:SOLUSDT,50886.0,138.39,139.13,137.56,2021-09-30 02:30:00
BINANCE:SOLUSDT,53879.69,138.32,139.37,138.16,2021-09-30 03:00:00
BINANCE:SOLUSDT,93977.03,139.91,140.1,138.0,2021-09-30 03:30:00
BINANCE:SOLUSDT,113931.24,138.91,141.28,138.82,2021-09-30 04:00:00
BINANCE:SOLUSDT,45105.04,138.57,139.37,138.28,2021-09-30 04:30:00
BINANCE:SOLUSDT,38237.08,138.83,139.63,138.57,2021-09-30 05:00:00
